,structure,graph_order
1,root,0
2,grey,1
3,CH,2
4,CTX,3
5,CTXpl,4
6,Isocortex,5
7,FRP,6
8,FRP1,7
9,FRP2/3,8
10,FRP5,9
11,FRP6a,10
12,FRP6b,11
13,MO,12
14,MOp,18
15,MOp1,19
16,MOp2/3,20
17,MOp5,21
18,MOp6a,22
19,MOp6b,23
20,MOs,24
21,MOs1,25
22,MOs2/3,26
23,MOs5,27
24,MOs6a,28
25,MOs6b,29
26,SS,30
27,SSp,37
28,SSp-n,44
29,SSp-n1,45
30,SSp-n2/3,46
31,SSp-n4,47
32,SSp-n5,48
33,SSp-n6a,49
34,SSp-n6b,50
35,SSp-bfd,51
36,SSp-bfd1,52
37,SSp-bfd2/3,53
38,SSp-bfd4,54
39,SSp-bfd5,55
40,SSp-bfd6a,56
41,SSp-bfd6b,57
42,SSp-ll,65
43,SSp-ll1,66
44,SSp-ll2/3,67
45,SSp-ll4,68
46,SSp-ll5,69
47,SSp-ll6a,70
48,SSp-ll6b,71
49,SSp-m,72
50,SSp-m1,73
51,SSp-m2/3,74
52,SSp-m4,75
53,SSp-m5,76
54,SSp-m6a,77
55,SSp-m6b,78
56,SSp-ul,79
57,SSp-ul1,80
58,SSp-ul2/3,81
59,SSp-ul4,82
60,SSp-ul5,83
61,SSp-ul6a,84
62,SSp-ul6b,85
63,SSp-tr,86
64,SSp-tr1,87
65,SSp-tr2/3,88
66,SSp-tr4,89
67,SSp-tr5,90
68,SSp-tr6a,91
69,SSp-tr6b,92
70,SSp-un,93
71,SSp-un1,94
72,SSp-un2/3,95
73,SSp-un4,96
74,SSp-un5,97
75,SSp-un6a,98
76,SSp-un6b,99
77,SSs,100
78,SSs1,101
79,SSs2/3,102
80,SSs4,103
81,SSs5,104
82,SSs6a,105
83,SSs6b,106
84,GU,107
85,GU1,108
86,GU2/3,109
87,GU4,110
88,GU5,111
89,GU6a,112
90,GU6b,113
91,VISC,114
92,VISC1,115
93,VISC2/3,116
94,VISC4,117
95,VISC5,118
96,VISC6a,119
97,VISC6b,120
98,AUD,121
99,AUDd,122
100,AUDd1,123
101,AUDd2/3,124
102,AUDd4,125
103,AUDd5,126
104,AUDd6a,127
105,AUDd6b,128
106,AUDp,136
107,AUDp1,137
108,AUDp2/3,138
109,AUDp4,139
110,AUDp5,140
111,AUDp6a,141
112,AUDp6b,142
113,AUDpo,143
114,AUDpo1,144
115,AUDpo2/3,145
116,AUDpo4,146
117,AUDpo5,147
118,AUDpo6a,148
119,AUDpo6b,149
120,AUDv,150
121,AUDv1,151
122,AUDv2/3,152
123,AUDv4,153
124,AUDv5,154
125,AUDv6a,155
126,AUDv6b,156
127,VIS,157
128,VISal,164
129,VISal1,165
130,VISal2/3,166
131,VISal4,167
132,VISal5,168
133,VISal6a,169
134,VISal6b,170
135,VISam,171
136,VISam1,172
137,VISam2/3,173
138,VISam4,174
139,VISam5,175
140,VISam6a,176
141,VISam6b,177
142,VISl,178
143,VISl1,179
144,VISl2/3,180
145,VISl4,181
146,VISl5,182
147,VISl6a,183
148,VISl6b,184
149,VISp,185
150,VISp1,186
151,VISp2/3,187
152,VISp4,188
153,VISp5,189
154,VISp6a,190
155,VISp6b,191
156,VISpl,192
157,VISpl1,193
158,VISpl2/3,194
159,VISpl4,195
160,VISpl5,196
161,VISpl6a,197
162,VISpl6b,198
163,VISpm,199
164,VISpm1,200
165,VISpm2/3,201
166,VISpm4,202
167,VISpm5,203
168,VISpm6a,204
169,VISpm6b,205
170,VISli,206
171,VISli1,207
172,VISli2/3,208
173,VISli4,209
174,VISli5,210
175,VISli6a,211
176,VISli6b,212
177,VISpor,213
178,VISpor1,214
179,VISpor2/3,215
180,VISpor4,216
181,VISpor5,217
182,VISpor6a,218
183,VISpor6b,219
184,ACA,220
185,ACAd,226
186,ACAd1,227
187,ACAd2/3,228
188,ACAd5,229
189,ACAd6a,230
190,ACAd6b,231
191,ACAv,232
192,ACAv1,233
193,ACAv2/3,234
194,ACAv5,235
195,ACAv6a,236
196,ACAv6b,237
197,PL,238
198,PL1,239
199,PL2/3,241
200,PL5,242
201,PL6a,243
202,PL6b,244
203,ILA,245
204,ILA1,246
205,ILA2/3,248
206,ILA5,249
207,ILA6a,250
208,ILA6b,251
209,ORB,252
210,ORBl,258
211,ORBl1,259
212,ORBl2/3,260
213,ORBl5,261
214,ORBl6a,262
215,ORBl6b,263
216,ORBm,264
217,ORBm1,265
218,ORBm2/3,267
219,ORBm5,268
220,ORBm6a,269
221,ORBm6b,270
222,ORBvl,272
223,ORBvl1,273
224,ORBvl2/3,274
225,ORBvl5,275
226,ORBvl6a,276
227,ORBvl6b,277
228,AI,278
229,AId,279
230,AId1,280
231,AId2/3,281
232,AId5,282
233,AId6a,283
234,AId6b,284
235,AIp,285
236,AIp1,286
237,AIp2/3,287
238,AIp5,288
239,AIp6a,289
240,AIp6b,290
241,AIv,291
242,AIv1,292
243,AIv2/3,293
244,AIv5,294
245,AIv6a,295
246,AIv6b,296
247,RSP,297
248,RSPagl,298
249,RSPagl1,299
250,RSPagl2/3,300
251,RSPagl5,301
252,RSPagl6a,302
253,RSPagl6b,303
254,RSPd,325
255,RSPd1,326
256,RSPd2/3,327
257,RSPd4,328
258,RSPd5,329
259,RSPd6a,330
260,RSPd6b,331
261,RSPv,332
262,RSPv1,333
263,RSPv2/3,335
264,RSPv5,336
265,RSPv6a,337
266,RSPv6b,338
267,PTLp,339
268,VISa,346
269,VISa1,347
270,VISa2/3,348
271,VISa4,349
272,VISa5,350
273,VISa6a,351
274,VISa6b,352
275,VISrl,353
276,VISrl1,354
277,VISrl2/3,355
278,VISrl4,356
279,VISrl5,357
280,VISrl6a,358
281,VISrl6b,359
282,TEa,360
283,TEa1,361
284,TEa2/3,362
285,TEa4,363
286,TEa5,364
287,TEa6a,365
288,TEa6b,366
289,PERI,367
290,PERI1,368
291,PERI2/3,369
292,PERI5,370
293,PERI6a,371
294,PERI6b,372
295,ECT,373
296,ECT1,374
297,ECT2/3,375
298,ECT5,376
299,ECT6a,377
300,ECT6b,378
301,OLF,379
302,MOB,380
303,AOB,386
304,AOBgl,387
305,AOBgr,388
306,AOBmi,389
307,AON,390
308,TT,398
309,TTd,399
310,TTv,405
311,DP,410
312,PIR,416
313,NLOT,421
314,NLOT1,423
315,NLOT2,424
316,NLOT3,425
317,COA,426
318,COAa,427
319,COAp,431
320,COApl,432
321,COApm,438
322,PAA,444
323,TR,449
324,HPF,454
325,HIP,455
326,CA,456
327,CA1,457
328,CA2,462
329,CA3,467
330,DG,473
331,DG-mo,474
332,DG-po,475
333,DG-sg,476
334,FC,490
335,IG,491
336,RHP,492
337,ENT,493
338,ENTl,494
339,ENTl1,495
340,ENTl2,496
341,ENTl3,500
342,ENTl5,503
343,ENTl6a,505
344,ENTm,507
345,ENTm1,508
346,ENTm2,509
347,ENTm3,512
348,ENTm5,514
349,ENTm6,516
350,PAR,523
351,POST,527
352,PRE,531
353,SUB,535
354,ProS,544
355,HATA,553
356,APr,554
357,CTXsp,555
358,CLA,557
359,EP,558
360,EPd,559
361,EPv,560
362,LA,561
363,BLA,562
364,BLAa,563
365,BLAp,564
366,BLAv,565
367,BMA,566
368,BMAa,567
369,BMAp,568
370,PA,569
371,CNU,570
372,STR,571
373,STRd,572
374,CP,573
375,STRv,574
376,ACB,575
377,FS,576
378,OT,577
379,LSX,585
380,LS,586
381,LSc,587
382,LSr,588
383,LSv,589
384,SF,590
385,SH,591
386,sAMY,592
387,AAA,593
388,BA,594
389,CEA,595
390,CEAc,596
391,CEAl,597
392,CEAm,598
393,IA,599
394,MEA,600
395,PAL,608
396,PALd,609
397,GPe,610
398,GPi,611
399,PALv,612
400,SI,613
401,MA,614
402,PALm,615
403,MSC,616
404,MS,617
405,NDB,618
406,TRS,619
407,PALc,620
408,BST,621
409,BAC,638
410,BS,639
411,IB,640
412,TH,641
413,DORsm,642
414,VENT,643
415,VAL,644
416,VM,645
417,VP,646
418,VPL,647
419,VPLpc,648
420,VPM,649
421,VPMpc,650
422,PoT,651
423,SPF,652
424,SPFm,653
425,SPFp,654
426,SPA,655
427,PP,656
428,GENd,657
429,MG,658
430,MGd,659
431,MGv,660
432,MGm,661
433,LGd,662
434,LGd-sh,663
435,LGd-co,664
436,LGd-ip,665
437,DORpm,666
438,LAT,667
439,LP,668
440,PO,669
441,POL,670
442,SGN,671
443,Eth,672
444,ATN,674
445,AV,675
446,AM,676
447,AMd,677
448,AMv,678
449,AD,679
450,IAM,680
451,IAD,681
452,LD,682
453,MED,683
454,IMD,684
455,MD,685
456,SMT,689
457,PR,690
458,MTN,691
459,PVT,692
460,PT,693
461,RE,694
462,Xi,695
463,ILM,696
464,RH,697
465,CM,698
466,PCN,699
467,CL,700
468,PF,701
469,PIL,702
470,RT,703
471,GENv,704
472,IGL,705
473,IntG,706
474,LGv,707
475,SubG,710
476,EPI,711
477,MH,712
478,LH,713
479,HY,715
480,PVZ,716
481,SO,717
482,ASO,718
483,PVH,720
484,PVa,731
485,PVi,732
486,ARH,733
487,PVR,734
488,ADP,735
489,AVP,737
490,AVPV,738
491,DMH,739
492,MEPO,743
493,MPO,744
494,OV,745
495,PD,746
496,PS,747
497,PVp,749
498,PVpo,750
499,SBPV,751
500,SCH,752
501,SFO,753
502,VMPO,754
503,VLPO,755
504,MEZ,756
505,AHN,757
506,MBO,762
507,LM,763
508,MM,764
509,MMme,765
510,MMl,766
511,MMm,767
512,MMp,768
513,MMd,769
514,SUM,770
515,TM,773
516,TMd,774
517,TMv,775
518,MPN,776
519,PMd,780
520,PMv,781
521,PVHd,782
522,VMH,787
523,PH,792
524,LZ,793
525,LHA,794
526,LPO,795
527,PST,796
528,PSTN,797
529,PeF,798
530,RCH,799
531,STN,800
532,TU,801
533,ZI,802
534,FF,804
535,ME,805
536,MB,806
537,MBsen,807
538,SCs,808
539,SCop,809
540,SCsg,810
541,SCzo,811
542,IC,812
543,ICc,813
544,ICd,814
545,ICe,815
546,NB,816
547,SAG,817
548,PBG,818
549,MEV,819
550,SCO,820
551,MBmot,821
552,SNr,822
553,VTA,823
554,PN,824
555,RR,825
556,MRN,826
557,SCm,830
558,SCdg,831
559,SCdw,832
560,SCiw,833
561,SCig,834
562,PAG,838
563,PRC,839
564,INC,840
565,ND,841
566,Su3,842
567,PRT,843
568,APN,844
569,MPT,845
570,NOT,846
571,NPC,847
572,OP,848
573,PPT,849
574,RPF,850
575,CUN,852
576,RN,853
577,III,854
578,MA3,855
579,EW,856
580,IV,857
581,Pa4,858
582,VTN,859
583,AT,860
584,LT,861
585,DT,862
586,MT,863
587,MBsta,865
588,SNc,866
589,PPN,867
590,RAmb,868
591,IF,869
592,IPN,870
593,IPR,871
594,IPC,872
595,IPA,873
596,IPL,874
597,IPI,875
598,IPDM,876
599,IPDL,877
600,IPRL,878
601,RL,879
602,CLI,880
603,DR,881
604,HB,882
605,P,883
606,P-sen,884
607,NLL,885
608,PSV,889
609,PB,890
610,KF,891
611,SOC,902
612,POR,903
613,SOCm,904
614,SOCl,905
615,P-mot,906
616,B,907
617,DTN,908
618,PDTg,910
619,PCG,911
620,PG,912
621,PRNc,913
622,SG,915
623,SUT,917
624,TRN,918
625,V,919
626,P5,920
627,Acs5,921
628,PC5,922
629,I5,923
630,P-sat,924
631,CS,925
632,LC,928
633,LDT,929
634,NI,930
635,PRNr,931
636,RPO,932
637,SLC,933
638,SLD,934
639,MY,935
640,MY-sen,936
641,AP,937
642,CN,938
643,DCO,941
644,VCO,942
645,DCN,943
646,CU,944
647,GR,945
648,ECU,946
649,NTB,947
650,NTS,948
651,SPVC,954
652,SPVI,955
