,structure,graph_order
653,SPVO,956
654,Pa5,962
655,MY-mot,964
656,VI,965
657,VII,967
658,ACVII,968
659,AMB,970
660,AMBd,971
661,AMBv,972
662,DMX,973
663,GRN,975
664,ICB,976
665,IO,977
666,IRN,978
667,ISN,979
668,LIN,980
669,LRN,981
670,LRNm,982
671,LRNp,983
672,MARN,984
673,MDRN,985
674,MDRNd,986
675,MDRNv,987
676,PARN,988
677,PAS,989
678,PGRN,990
679,PGRNd,991
680,PGRNl,992
681,PHY,993
682,NR,995
683,PRP,996
684,PPY,998
685,VNC,1001
686,LAV,1002
687,MV,1003
688,SPIV,1004
689,SUV,1005
690,x,1006
691,XII,1007
692,y,1008
693,MY-sat,1010
694,RM,1011
695,RPA,1012
696,RO,1013
697,CB,1014
698,CBX,1015
699,VERM,1019
700,LING,1020
701,CENT,1024
702,CENT2,1025
703,CENT3,1029
704,CUL,1033
705,"CUL4, 5",1042
706,DEC,1046
707,FOTU,1050
708,PYR,1054
709,UVU,1058
710,NOD,1062
711,HEM,1066
712,SIM,1067
713,AN,1071
714,ANcr1,1072
715,ANcr2,1076
716,PRM,1080
717,COPY,1084
718,PFL,1088
719,FL,1092
720,CBN,1096
721,FN,1097
722,IP,1098
723,DN,1099
724,VeCB,1100
725,fiber tracts,1101
726,cm,1102
727,von,1104
728,In,1105
729,onl,1106
730,lotg,1107
731,lot,1108
732,lotd,1109
733,aco,1111
734,IIn,1112
735,bsc,1114
736,csc,1115
737,och,1116
738,opt,1117
739,IIIn,1119
740,mlf,1120
741,pc,1121
742,IVn,1122
743,Vn,1125
744,moV,1126
745,sV,1127
746,sptV,1129
747,VIIn,1130
748,gVIIn,1132
749,VIIIn,1133
750,vVIIIn,1135
751,cVIIIn,1136
752,tb,1137
753,das,1139
754,ll,1140
755,cic,1141
756,bic,1142
757,Xn,1144
758,ts,1145
759,drt,1149
760,cett,1150
761,dc,1155
762,cuf,1156
763,ml,1159
764,cbf,1171
765,cbc,1172
766,cbp,1173
767,scp,1174
768,dscp,1175
769,uf,1177
770,sctv,1178
771,mcp,1179
772,icp,1180
773,sctd,1181
774,arb,1188
775,scwm,1189
776,lfbs,1190
777,cc,1191
778,fa,1192
779,ec,1193
780,ee,1194
781,ccg,1195
782,fp,1196
783,ccb,1198
784,ccs,1199
785,cst,1200
786,int,1201
787,cpd,1202
788,py,1207
789,pyd,1208
790,lfbst,1211
791,em,1212
792,or,1216
793,ar,1217
794,eps,1218
795,epsc,1219
796,nst,1221
797,tsp,1226
798,tspd,1227
799,dtd,1228
800,tspc,1229
801,rust,1230
802,vtd,1231
803,mfbs,1238
804,mfbc,1239
805,amc,1240
806,act,1242
807,cing,1243
808,fxs,1244
809,alv,1245
810,df,1246
811,fi,1247
812,fxpo,1250
813,mct,1251
814,fx,1252
815,hc,1253
816,dhc,1254
817,vhc,1255
818,st,1259
819,stc,1260
820,mfsbshy,1261
821,mfb,1262
822,sup,1265
823,mfbsma,1277
824,pm,1278
825,mtt,1279
826,mtg,1280
827,mp,1281
828,mfbse,1284
829,sm,1285
830,fr,1286
831,hbc,1287
832,VS,1292
833,VL,1293
834,SEZ,1295
835,chpl,1296
836,V3,1299
837,AQ,1300
838,V4,1301
839,V4r,1302
840,c,1303
