Cre,Layer,image_series_id,specimen,target,hemisphere,flat_x,flat_y,injection_x,injection_y,injection_z,top_x,top_y
A93,L5,711357362,A930038C07Rik-Tg1-Cre-381248,ACAd,right,1074,731,1681.228931,5375.198286,6139.297932,568,513
A93,L5,742738607,A930038C07Rik-Tg1-Cre-390992,ACAd,right,1082,662,2020.858874,4786.380743,6215.479184,407,474
Ctgf,L6,736864334,Ctgf-T2A-dgCre-388637,ACAd,right,1059,709,1688.791989,5174.782188,6214.477677,569,498
Cux,L2,689174351,Cux2-IRES-Cre-378029,ACAd,right,1075,700,1731.081434,5069.684489,5976.060122,426,514
Pvalb,pan,722879836,Pvalb-IRES-Cre;Ai75-385368,ACAd,right,1047,685,1678.148077,4942.342636,6224.416951,568,480
Rbp,L5,730765491,Rbp4-Cre_KL100-388978,ACAd,right,1029,696,1469.912344,5005.655985,6128.298693,566,491
Rbp,L5,850919348,Rbp4-Cre_KL100-428628,ACAd,right,1056,647,1977.393718,4672.101776,6375.744132,569,445
SepW,L2,775181535,Sepw1-Cre_NP39-407881,ACAd,right,1057,702,1532.03399,5036.36755,5883.004404,569,490
SepW,L2,775195646,Sepw1-Cre_NP39-407883,ACAd,right,1093,664,2018.602255,4764.333303,5937.810888,424,469
Sst,pan,714547490,Sst-IRES-Cre;Ai148-380969,ACAd,right,1055,702,1613.950646,5073.384473,6123.363605,569,492
Syt6,L6,683076281,Syt6-Cre_KI148-375936,ACAd,right,1073,661,2032.180013,4812.167193,6341.13548,568,452
Syt6,L6,692168095,Syt6-Cre_KI148-375941,ACAd,right,1062,686,1862.990636,5016.689829,6327.21282,569,478
Syt6,L6,1153766255,Syt6-Cre_KI148-602825,ACAd,right,1054,617,1990.165907,4377.426096,6318.752353,569,419
Tlx,L5,1090967862,Tlx3-Cre_PL56-564648,ACAd,right,1029,670,1545.553446,4764.116901,6115.215446,565,467
Tlx,L5,1091745970,Tlx3-Cre_PL56-564650,ACAd,right,1053,670,1646.759204,4764.974398,6026.169913,569,464
Vip,pan,724640132,Vip-IRES-Cre;Sst-IRES-FlpO;Ai65-384120,ACAd,right,1084,655,1978.428229,4682.472311,6018.078757,419,459
Cux,L2,859013135,Cux2-IRES-Cre-435558,ACAv,right,1108,693,2074.854472,5067.282105,5990.640216,424,510
Cux,L2,901187872,Cux2-IRES-Cre-448392,ACAv,right,1135,695,2304.519004,5126.934541,5964.078324,422,504
Penk,L2/3/5/6,974247546,Penk-IRES2-Cre-neo-469246,ACAv,right,1174,536,3319.614031,4268.386441,6046.22014,411,334
Rbp,L5,857426105,Rbp4-Cre_KL100-433049,ACAv,right,1124,701,2233.027497,5186.104216,6143.088822,411,516
Rbp,L5,1037931590,Rbp4-Cre_KL100-501430,ACAv,right,1163,681,2597.441782,5053.66615,6118.046973,404,473
Rbp,L5,1029011901,Rbp4-Cre_KL100-490317,ACAv,right,1167,776,2212.358955,5857.711188,6019.033501,416,575
A93,L5,740284594,A930038C07Rik-Tg1-Cre-393194,PL,right,1129,443,3171.162762,3428.574168,6081.816118,416,340
A93,L5,750305447,A930038C07Rik-Tg1-Cre-395329,PL,right,1105,473,2949.601419,3465.137593,6222.888103,413,353
Ctgf,L6,786098453,Ctgf-T2A-dgCre-413086,PL,right,1128,469,3191.06639,3674.542154,6289.860145,403,348
