area,module,,id
RE,1,,
PT,1,,
SPFm,1,,
MD,1,,
IMD,1,,
PVT,1,,
Xi,1,,
LH,1,,
MH,1,,
CL,2,,
CM,2,,
PCN,2,,
PO,2,,
VPL,2,,
VPM,2,,
VAL,2,,
VM,2,,
SMT,2,,
VPMpc,2,,
IAD,3,,
AD,3,,
AV,3,,
AM,3,,
LD,3,,
LGd,4,,
LGv,4,,
LP,4,,
PIL,5,,
MG,5,,
SGN,5,,
POL,5,,
