area,module
ECT,1
ILA,1
ORBl,1
ORBm,1
ORBvl,1
AId,1
AIv,1
AIp,1
FRP,1
PL,1
PERI,1
GU,2
VISC,2
SSs,2
SSp-bfd,2
SSp-ll,2
SSp-ul,2
SSp-un,2
SSp-n,2
SSp-m,2
MOp,2
MOs,2
SSp-tr,3
ACAv,3
ACAd,3
RSPagl,3
RSPd,3
RSPv,3
VISal,4
VISl,4
VISp,4
VISpl,4
VISli,4
VISpor,4
VISrl,4
VISa,4
VISam,4
VISpm,4
TEa,5
AUDd,5
AUDp,5
AUDpo,5
AUDv,5
